GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016
0500000US37187,37187,"Washington County, North Carolina",13228,13218,13163,12954,12716,12726,12531,12347,12195
0500000US37189,37189,"Watauga County, North Carolina",51079,51079,50987,51583,52062,52311,52407,53024,53922
0500000US37191,37191,"Wayne County, North Carolina",122623,122638,122908,124042,124551,124634,124583,124319,124150
0500000US37193,37193,"Wilkes County, North Carolina",69340,69305,69195,69189,69279,69073,68827,68519,68740
0500000US37195,37195,"Wilson County, North Carolina",81234,81237,81251,81444,81755,81603,81379,81686,81661
0500000US37197,37197,"Yadkin County, North Carolina",38406,38406,38436,38317,38125,38048,37826,37563,37532
0500000US37199,37199,"Yancey County, North Carolina",17818,17817,17794,17678,17616,17566,17573,17564,17678
0500000US38001,38001,"Adams County, North Dakota",2343,2343,2349,2304,2319,2375,2367,2373,2305
0500000US38003,38003,"Barnes County, North Dakota",11066,11066,11067,11108,11004,11126,11090,11019,10926
0500000US38005,38005,"Benson County, North Dakota",6660,6660,6675,6694,6760,6887,6860,6764,6739
0500000US38007,38007,"Billings County, North Dakota",783,783,771,838,914,889,898,920,934
0500000US38009,38009,"Bottineau County, North Dakota",6429,6429,6427,6505,6581,6722,6656,6712,6579
0500000US38011,38011,"Bowman County, North Dakota",3151,3151,3144,3137,3211,3218,3238,3281,3241
0500000US38013,38013,"Burke County, North Dakota",1968,1968,1959,2049,2162,2286,2237,2312,2198
0500000US38015,38015,"Burleigh County, North Dakota",81308,81308,81714,83544,85981,88662,90565,93104,94487
0500000US38017,38017,"Cass County, North Dakota",149778,149778,150268,152925,157040,163246,167203,171524,175249
